"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"315" 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"316" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"317" 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1
"318" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"319" 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1
"320" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"321" 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0
"322" 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1
"323" 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 0
"324" 1 0 1 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0
"325" 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0
"326" 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 0 0
"327" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"328" 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
"329" 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1
"330" 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"331" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0
"332" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0
"333" 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"334" 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0
"335" 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0
"336" 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0
"337" 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"338" 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"339" 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0
"340" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"341" 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"342" 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0
"343" 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"344" 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1
"345" 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1
"346" 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"347" 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0
"348" 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"349" 0 1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0
"350" 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
"351" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"352" 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 0 1
"353" 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"354" 1 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0
"355" 1 0 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0
"356" 1 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"357" 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0
"358" 1 0 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 1 1 0
"359" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"360" 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0
"361" 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1
"362" 1 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0
"363" 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"364" 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
"365" 1 1 1 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1
"366" 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1
"367" 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"368" 1 1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1
"369" 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"370" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
"371" 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"372" 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 1 1 0 1 1
"373" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0
"374" 1 1 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"375" 1 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"376" 0 0 1 0 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 0
"377" 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"378" 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
"379" 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0
"380" 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"381" 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"382" 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0
"383" 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0
"384" 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1
"385" 1 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0
"386" 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0
"387" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"388" 1 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1
"389" 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 0 1 0
"390" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"391" 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"392" 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0
"393" 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0
"394" 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 1
"395" 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0
"396" 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"397" 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0
"398" 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1
"399" 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"400" 1 1 1 1 0 1 0 0 1 0 1 1 0 0 0 1 0 1 1 0
"401" 0 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0
"402" 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"403" 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1
"404" 1 0 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1
"405" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"406" 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1
"407" 1 1 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0
"408" 1 0 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1
"409" 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1
"410" 1 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 0
"411" 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0
"412" 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"413" 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0
"414" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"415" 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0
"416" 1 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0
"417" 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"418" 1 1 1 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0 0 1
"419" 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0
"420" 1 1 1 0 0 0 0 1 0 0 1 1 0 1 1 1 1 1 1 0
"421" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"422" 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"423" 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"424" 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0
"425" 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
"426" 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0
"427" 1 0 0 1 1 1 1 1 1 0 1 1 0 0 1 0 0 0 0 0
"428" 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0
"429" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0
"430" 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1
"431" 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 1 0 0
"432" 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"433" 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"434" 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"435" 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"436" 0 1 0 1 1 1 0 0 0 0 1 1 0 1 1 1 0 1 1 1
"437" 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 1
"438" 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0
"439" 1 0 0 1 0 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0
"440" 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0
"441" 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0
"442" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"443" 1 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0
"444" 0 1 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0
"445" 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1
"446" 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"447" 1 0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0
"448" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"449" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"450" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"451" 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"452" 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"453" 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
"454" 1 1 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0
"455" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"456" 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"457" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"458" 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0
"459" 1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0
"460" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"461" 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"462" 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0
"463" 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0
"464" 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
"465" 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1
"466" 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1
"467" 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0
"468" 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"469" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0
"470" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"471" 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0
"472" 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"473" 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0
"474" 0 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 0 0
"475" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"476" 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0
"477" 1 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0
"478" 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1
"479" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0
"480" 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1
"481" 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0
"482" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"483" 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0
"484" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"485" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"486" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
"487" 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0
"488" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"489" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"490" 1 1 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0
"491" 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1
"492" 0 0 0 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1
"493" 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"494" 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"495" 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
"496" 0 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
"497" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"498" 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0
"499" 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"500" 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
